USER_DEFINED,KUDOS,GROUP
UID,CLUSTER_ID,SITE
POLYGON,AREA,SITE
CHUNK,CLUSTER_NAME,SITE
OPERATOR,OPERATOR,SITE
REGION,REGION,SITE
AREA_OP,_AREA_OP,CUSTOM_SITE
AREA_OWNER,_AREA_OWNER,CUSTOM_SITE
Optimiser,OWNER,SITE
Mobile_Optimiser,_MOBILE_OPTIMISER,CUSTOM_SITE
RadioManager,_RADIOMANAGER,CUSTOM_SITE
Mobile_RadioManager,_MOBILE_RADIOMANAGER,CUSTOM_SITE
CSR,SITE_ID,SITE
CELL_ID,CELL_ID,CELL
SECTOR,SECTOR_ID,SECTOR
MI_MYCOM_ID,CELL_REF,CELL
GENERATION,TECH_GEN,CELL
BCF_INT_ID,_BCF_INT_ID,CUSTOM_CELL
BTS_INT_ID,_BTS_INT_ID,CUSTOM_CELL
WCEL_ID,OSS_CELLID,CELL
FDD,LAYER,CELL
MODEL_NAME,_MODEL_NAME,CUSTOM_CELL
SITE_NAME,SITE_NAME,SITE
SITE_TYPE,SITE_TYPE,SITE
CELL_TYPE,CELL_TYPE,CELL
MANUFACTURER,_MANUFACTURER,CUSTOM_CELL
LACOD,LAC,CELL
NE_ID,_NE_ID,CUSTOM_CELL
OMC_NE_NAME,_OMC_NE_NAME,CUSTOM_CELL
MSC,_MSC,CUSTOM_CELL
OMC_ID,_OMC_ID,CUSTOM_CELL
CIRCUIT,_CIRCUIT,CUSTOM_CELL
CELL_CARRIERS,_CELL_CARRIERS,CUSTOM_CELL
CELL_3G_CARRIER,ARFCN,CELL
CALL_SAVER_CODE,_CALL_SAVER_CODE,CUSTOM_CELL
CELL_OF_ORIGIN,_CELL_OF_ORIGIN,CUSTOM_CELL
ZONE_CODE,_ZONE_CODE,CUSTOM_CELL
ADR1,ADR1,SITE
ADR2,ADR2,SITE
ADR3,ADR3,SITE
TOWN,TOWN,SITE
COUNTY,COUNTY,SITE
POSTCODE,POSTCODE,SITE
EASTING,EASTING,SITE
NORTHING,NORTHING,SITE
BCCH,BCCH,CELL
ARFCN,ARFCN,CELL
TRX_LIST,TRX_LIST,CELL
NCC,NCC,CELL
BCC,BCC,CELL
SCC,PSC,CELL
SAC,SAC,CELL
RAC,RAC,CELL
TMA,_TMA,CUSTOM_ANTENNA
ENVIRONMENT,_ENVIRONMENT,CUSTOM_SECTOR
KIT_TYPE,_KIT_TYPE,CUSTOM_CELL
ANTENNA_NUM,_ANTENNA_NUM,SECTOR
BEAM_WIDTH,BEAMWIDTH_H,ANTENNA
ANT_NAME,ANTENNA_NAME,ANTENNA
ANT_HEIGHT,ANTENNA_HEIGHT,ANTENNA
GROUND_HEIGHT,GROUND_HEIGHT,ANTENNA
TILT,TILT_MECH,ANTENNA
ELEC_TILT,TILT_ELEC,ANTENNA
AZIMUTH,AZIMUTH,ANTENNA
POWER,TX_POWER,CELL
LOSSES,TX_LOSS,CELL
AREA,_AREA,CUSTOM_SITE
REGION_2,_REGION_2,CUSTOM_SITE
BIS_DATE,_BIS_DATE,CUSTOM_CELL
SITE_GENERATION_TYPE,_SITE_GENERATION_TYPE,CUSTOM_SECTOR
CELL_OWNER,_CELL_OWNER,CUSTOM_CELL
JV_ID,_JV_ID,CUSTOM_SITE
CELL_SEQ_NO,_CELL_SEQ_NO,CUSTOM_CELL
ENODEB_ID,ENODEB_ID,SECTOR
PCI,PCI,CELL
TAC,TAC,CELL
RSI,RSI,CELL
URA,URA,CELL
ENODEBNAME,ENODEBNAME,SECTOR
PSEUDO_CARRIERS,_PSEUDO_CARRIERS,CUSTOM_CELL
BSC_C_NUMBER,_BSC_C_NUMBER,CUSTOM_CELL
,ANTENNA_ID,ANTENNA
